,rating,percentage,totals,imdb_id,title
1,9.0,30.3,603107.0,tt1375666,Inception
2,8.0,19.7,391390.0,tt1375666,Inception
3,7.0,8.4,167398.0,tt1375666,Inception
4,6.0,2.9,58537.0,tt1375666,Inception
5,5.0,1.3,26061.0,tt1375666,Inception
6,4.0,0.7,13055.0,tt1375666,Inception
7,3.0,0.4,8470.0,tt1375666,Inception
8,2.0,0.3,6795.0,tt1375666,Inception
9,1.0,0.9,17222.0,tt1375666,Inception
1,9.0,21.9,192863.0,tt1431045,Deadpool
2,8.0,28.2,247926.0,tt1431045,Deadpool
3,7.0,16.9,148627.0,tt1431045,Deadpool
4,6.0,6.6,58333.0,tt1431045,Deadpool
5,5.0,2.4,21322.0,tt1431045,Deadpool
6,4.0,1.1,9561.0,tt1431045,Deadpool
7,3.0,0.7,5753.0,tt1431045,Deadpool
8,2.0,0.5,4159.0,tt1431045,Deadpool
9,1.0,1.2,10751.0,tt1431045,Deadpool
1,9.0,27.2,390928.0,tt0816692,Interstellar
2,8.0,19.3,277255.0,tt0816692,Interstellar
3,7.0,9.9,142188.0,tt0816692,Interstellar
4,6.0,3.8,54898.0,tt0816692,Interstellar
5,5.0,1.6,23526.0,tt0816692,Interstellar
6,4.0,0.8,11771.0,tt0816692,Interstellar
7,3.0,0.5,7323.0,tt0816692,Interstellar
8,2.0,0.4,5439.0,tt0816692,Interstellar
9,1.0,0.9,12417.0,tt0816692,Interstellar
1,9.0,21.8,269466.0,tt0848228,The Avengers
2,8.0,26.3,326254.0,tt0848228,The Avengers
3,7.0,15.9,197017.0,tt0848228,The Avengers
4,6.0,6.4,79367.0,tt0848228,The Avengers
5,5.0,2.6,32176.0,tt0848228,The Avengers
6,4.0,1.1,13852.0,tt0848228,The Avengers
7,3.0,0.6,8005.0,tt0848228,The Avengers
8,2.0,0.5,5644.0,tt0848228,The Avengers
9,1.0,1.4,17403.0,tt0848228,The Avengers
1,9.0,28.1,627048.0,tt0468569,The Dark Knight
2,8.0,15.3,342653.0,tt0468569,The Dark Knight
3,7.0,6.0,133696.0,tt0468569,The Dark Knight
4,6.0,2.2,48278.0,tt0468569,The Dark Knight
5,5.0,1.0,22653.0,tt0468569,The Dark Knight
6,4.0,0.5,11182.0,tt0468569,The Dark Knight
7,3.0,0.4,7919.0,tt0468569,The Dark Knight
8,2.0,0.3,7044.0,tt0468569,The Dark Knight
9,1.0,1.3,29943.0,tt0468569,The Dark Knight
1,9.0,18.7,204987.0,tt0499549,Avatar
2,8.0,24.0,263774.0,tt0499549,Avatar
3,7.0,16.9,185856.0,tt0499549,Avatar
4,6.0,8.3,90675.0,tt0499549,Avatar
5,5.0,4.0,43539.0,tt0499549,Avatar
6,4.0,2.0,21750.0,tt0499549,Avatar
7,3.0,1.3,13850.0,tt0499549,Avatar
8,2.0,0.9,10012.0,tt0499549,Avatar
9,1.0,2.4,26270.0,tt0499549,Avatar
1,9.0,23.4,238562.0,tt2015381,Guardians of the Galaxy
2,8.0,29.8,303814.0,tt2015381,Guardians of the Galaxy
3,7.0,16.8,171621.0,tt2015381,Guardians of the Galaxy
4,6.0,6.1,62325.0,tt2015381,Guardians of the Galaxy
5,5.0,2.2,22850.0,tt2015381,Guardians of the Galaxy
6,4.0,1.0,10180.0,tt2015381,Guardians of the Galaxy
7,3.0,0.6,5746.0,tt2015381,Guardians of the Galaxy
8,2.0,0.4,3991.0,tt2015381,Guardians of the Galaxy
9,1.0,1.0,9719.0,tt2015381,Guardians of the Galaxy
1,9.0,30.8,555207.0,tt0137523,Fight Club
2,8.0,19.9,357864.0,tt0137523,Fight Club
3,7.0,8.1,146720.0,tt0137523,Fight Club
