,Gender,All Ages_rating,All Ages_votes,<18_rating,<18_votes,18-29_rating,18-29_votes,30-44_rating,30-44_votes,45+_rating,45+_votes,imdb_id,title
1,Males,8.8,1198939.0,9.1,1203.0,9.0,386173.0,8.8,601245.0,8.1,107891.0,tt1375666,Inception
2,Females,8.6,278009.0,8.7,251.0,8.8,108382.0,8.6,126703.0,8.1,20251.0,tt1375666,Inception
1,Males,8.0,498167.0,8.1,844.0,8.1,168342.0,7.9,221888.0,7.8,46330.0,tt1431045,Deadpool
2,Females,8.0,105797.0,8.1,146.0,8.1,43863.0,7.9,40883.0,7.9,7777.0,tt1431045,Deadpool
1,Males,8.6,843796.0,8.9,1068.0,8.9,294511.0,8.5,376742.0,8.0,77103.0,tt0816692,Interstellar
2,Females,8.4,164000.0,8.3,205.0,8.6,67460.0,8.3,66562.0,7.8,12370.0,tt0816692,Interstellar
1,Males,8.0,769758.0,8.1,869.0,8.0,259058.0,8.0,369609.0,7.9,71329.0,tt0848228,The Avengers
2,Females,8.2,169096.0,8.4,176.0,8.2,68094.0,8.1,71217.0,8.2,13930.0,tt0848228,The Avengers
1,Males,9.1,1406392.0,9.3,1580.0,9.3,425984.0,9.0,738941.0,8.4,121784.0,tt0468569,The Dark Knight
2,Females,8.7,250036.0,8.8,224.0,8.8,88656.0,8.7,122929.0,8.2,19951.0,tt0468569,The Dark Knight
1,Males,7.8,710370.0,7.5,511.0,7.7,193712.0,7.9,394664.0,7.9,80729.0,tt0499549,Avatar
2,Females,7.7,163076.0,7.2,133.0,7.6,57962.0,7.8,80026.0,7.9,15084.0,tt0499549,Avatar
1,Males,8.0,599649.0,8.1,945.0,8.1,197933.0,8.0,273811.0,7.9,60783.0,tt2015381,Guardians of the Galaxy
2,Females,8.1,127664.0,8.2,205.0,8.1,50184.0,8.0,51279.0,8.1,11575.0,tt2015381,Guardians of the Galaxy
1,Males,8.8,1094168.0,9.1,853.0,8.9,313610.0,8.9,583618.0,8.3,112160.0,tt0137523,Fight Club
2,Females,8.7,235162.0,8.8,188.0,8.8,82125.0,8.7,115079.0,8.1,20768.0,tt0137523,Fight Club
1,Males,8.4,807735.0,8.7,688.0,8.7,262042.0,8.4,386414.0,8.0,78358.0,tt1853728,Django Unchained
2,Females,8.3,161781.0,8.1,108.0,8.5,58755.0,8.3,73515.0,8.1,13844.0,tt1853728,Django Unchained
1,Males,8.9,1091484.0,9.2,911.0,9.0,287724.0,9.0,578447.0,8.8,143724.0,tt0110912,Pulp Fiction
2,Females,8.5,206636.0,8.5,210.0,8.6,67929.0,8.5,97748.0,8.3,25660.0,tt0110912,Pulp Fiction
1,Males,8.4,441852.0,8.7,1961.0,8.6,157957.0,8.3,177249.0,8.1,37791.0,tt4154756,Avengers: Infinity War
2,Females,8.4,76211.0,8.6,368.0,8.5,30788.0,8.3,27723.0,8.2,6287.0,tt4154756,Avengers: Infinity War
1,Males,7.8,588645.0,8.0,741.0,7.9,169633.0,7.8,314003.0,7.8,61839.0,tt0371746,Iron Man
2,Females,7.9,110742.0,8.1,141.0,7.9,40068.0,7.8,51507.0,7.9,10730.0,tt0371746,Iron Man
1,Males,8.8,1003026.0,9.0,1141.0,8.9,290004.0,8.8,508662.0,8.5,119242.0,tt0109830,Forrest Gump
2,Females,8.7,261435.0,8.6,294.0,8.7,93047.0,8.7,119437.0,8.5,27295.0,tt0109830,Forrest Gump
1,Males,8.8,1013216.0,8.6,856.0,8.6,251781.0,8.9,552113.0,8.6,134201.0,tt0133093,The Matrix
2,Females,8.3,184304.0,8.1,167.0,8.2,52974.0,8.4,94518.0,8.4,23814.0,tt0133093,The Matrix
1,Males,7.7,556687.0,8.0,539.0,8.0,157483.0,7.6,292564.0,7.4,70721.0,tt0120338,Titanic
2,Females,8.1,203357.0,7.9,216.0,8.3,78078.0,8.0,92328.0,7.8,18232.0,tt0120338,Titanic
1,Males,8.8,974804.0,8.9,836.0,9.0,271422.0,8.8,507671.0,8.6,123307.0,tt0120737,The Lord of the Rings: The Fellowship of the Ring
2,Females,8.8,216870.0,8.4,150.0,8.8,70888.0,8.7,106092.0,8.8,24682.0,tt0120737,The Lord of the Rings: The Fellowship of the Ring
1,Males,7.0,469049.0,7.1,302.0,7.2,147917.0,6.9,234900.0,7.0,51201.0,tt1392170,The Hunger Games
2,Females,7.8,183920.0,7.7,147.0,7.9,79393.0,7.6,74221.0,7.7,13764.0,tt1392170,The Hunger Games
1,Males,8.1,522672.0,8.3,525.0,8.3,168889.0,8.1,249118.0,7.6,53027.0,tt1392190,Mad Max: Fury Road
2,Females,7.9,86810.0,7.7,58.0,8.1,33152.0,7.8,38002.0,7.4,7094.0,tt1392190,Mad Max: Fury Road
1,Males,7.4,338984.0,7.8,530.0,7.7,116725.0,7.2,161105.0,7.3,39530.0,tt0241527,Harry Potter and the Philosopher's Stone
2,Females,8.1,123079.0,8.4,187.0,8.3,51505.0,7.9,52382.0,8.1,10672.0,tt0241527,Harry Potter and the Philosopher's Stone
1,Males,7.8,366830.0,8.0,851.0,7.9,124667.0,7.7,161209.0,7.6,33813.0,tt3498820,Captain America: Civil War
2,Females,7.8,64585.0,8.2,171.0,7.9,26044.0,7.7,24811.0,7.8,5189.0,tt3498820,Captain America: Civil War
1,Males,7.1,466966.0,7.1,624.0,7.2,153304.0,7.0,221156.0,7.1,44535.0,tt1300854,Iron Man 3
2,Females,7.6,88668.0,7.5,108.0,7.7,34472.0,7.4,36595.0,7.5,7733.0,tt1300854,Iron Man 3
1,Males,8.4,945908.0,8.4,859.0,8.6,321991.0,8.4,458154.0,7.9,77359.0,tt1345836,The Dark Knight Rises
2,Females,8.4,160652.0,7.9,90.0,8.5,61746.0,8.3,72732.0,8.0,11834.0,tt1345836,The Dark Knight Rises
1,Males,7.3,423115.0,7.0,781.0,7.3,144952.0,7.2,191719.0,7.2,39693.0,tt2395427,Avengers: Age of Ultron
2,Females,7.6,80771.0,7.6,156.0,7.7,33161.0,7.5,31829.0,7.6,6636.0,tt2395427,Avengers: Age of Ultron
1,Males,6.9,339872.0,6.9,419.0,7.0,102143.0,6.8,170389.0,6.8,35856.0,tt0369610,Jurassic World
2,Females,7.3,73351.0,7.4,84.0,7.4,27458.0,7.2,32001.0,7.3,6327.0,tt0369610,Jurassic World
1,Males,9.3,1389936.0,9.4,1369.0,9.3,392742.0,9.3,717790.0,9.1,164629.0,tt0111161,The Shawshank Redemption
2,Females,9.2,273418.0,9.0,269.0,9.2,89038.0,9.2,128373.0,9.2,34021.0,tt0111161,The Shawshank Redemption
1,Males,5.9,323292.0,5.1,616.0,5.9,107822.0,5.9,144444.0,6.1,29761.0,tt1386697,Suicide Squad
2,Females,6.3,74150.0,6.2,201.0,6.4,32022.0,6.2,27064.0,6.4,4750.0,tt1386697,Suicide Squad
1,Males,8.9,980641.0,9.2,800.0,9.2,278164.0,8.8,514688.0,8.6,113329.0,tt0167260,The Lord of the Rings: The Return of the King
2,Females,8.8,206577.0,8.5,148.0,9.0,68124.0,8.8,101611.0,8.7,21950.0,tt0167260,The Lord of the Rings: The Return of the King
1,Males,7.1,324928.0,7.4,1008.0,7.3,103260.0,7.0,143349.0,6.9,35005.0,tt1825683,Black Panther
2,Females,7.8,72709.0,7.7,220.0,7.9,27050.0,7.6,27617.0,7.8,7297.0,tt1825683,Black Panther
1,Males,7.4,325860.0,7.7,783.0,7.6,107150.0,7.4,148116.0,7.4,32824.0,tt1211837,Doctor Strange
2,Females,7.7,70365.0,7.9,172.0,7.7,27565.0,7.6,28454.0,7.7,5887.0,tt1211837,Doctor Strange
